Performance Code,AIdent,Start Day,End Day,Pay Rate,Bill Rate,Margin
Open,225261,2/4/2018,,8,13.88,5.88
Assignment Terminated - No Reason Given,184514,8/9/2017,8/9/2017,8.15,11.82,3.67
Complete,186334,9/20/2017,9/22/2017,8.15,11.17,3.02
Complete,186555,9/20/2017,9/25/2017,8.15,11.17,3.02
Completed Early,210145,12/4/2017,12/20/2017,8.15,11.17,3.02
Assignment Terminated - Attendance,221151,12/6/2017,12/19/2017,8.15,11.17,3.02
Assignment Terminated - Attendance,184399,8/15/2017,9/28/2017,8.15,11.08,2.93
A Quit - Stopped Showing / No Notice,184777,8/15/2017,8/18/2017,8.15,11.08,2.93
A Quit - Stopped Showing / No Notice,186286,10/2/2017,10/20/2017,8.15,11.08,2.93
A Quit - Stopped Showing / No Notice,186342,9/15/2017,9/15/2017,8.15,11.08,2.93
Deleted/Mistakenly entered,186455,10/2/2017,10/2/2017,8.15,11.08,2.93
Assignment Terminated - No Call / No Show,186461,10/5/2017,10/16/2017,8.15,11.08,2.93
A Quit - Stopped Showing / No Notice,207393,10/31/2017,11/1/2017,8.15,11.08,2.93
Assignment Terminated - Violation of Rules,208053,10/19/2017,11/21/2017,8.15,11.08,2.93
A Quit - Stopped Showing / No Notice,208166,10/19/2017,10/20/2017,8.15,11.08,2.93
Assignment Terminated - Poor Production,208319,11/7/2017,12/1/2017,8.15,11.08,2.93
Rate Change,209511,11/7/2017,12/31/2017,8.15,11.08,2.93
Rate Change,221213,11/29/2017,12/31/2017,8.15,11.08,2.93
Assignment Terminated - No Reason Given,221686,12/6/2017,12/15/2017,8.15,11.08,2.93
Assignment Terminated - No Reason Given,184224,8/3/2017,8/10/2017,8.15,11,2.85
A Quit - Resigned with Notice,185410,9/11/2017,9/13/2017,8.15,11,2.85
Assignment Terminated - No Call / No Show,186926,9/27/2017,9/27/2017,8.15,11,2.85
A Quit - Stopped Showing / No Notice,184144,8/2/2017,10/12/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,184399,9/29/2017,10/9/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,184472,8/8/2017,8/11/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,184588,11/6/2017,12/22/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,184741,8/29/2017,8/30/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,184776,10/16/2017,10/18/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,184806,8/15/2017,9/8/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,184810,8/15/2017,10/13/2017,8.15,10.76,2.61
A Quit - Resigned with Notice,184861,8/16/2017,9/8/2017,8.15,10.76,2.61
A Quit - Accepted Job with Client or Other Company,184862,8/16/2017,9/8/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,184867,10/26/2017,10/31/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,185025,8/23/2017,8/23/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,185034,8/18/2017,8/20/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,185035,8/18/2017,8/21/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,185079,9/19/2017,10/27/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,185081,10/13/2017,10/27/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,185108,8/22/2017,8/31/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,185233,8/23/2017,8/28/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,185260,10/12/2017,11/8/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,185397,10/23/2017,11/1/2017,8.15,10.76,2.61
Assignment Terminated - Poor Production,185399,8/25/2017,9/5/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,185504,8/29/2017,9/25/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,185614,9/14/2017,9/28/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,186117,9/25/2017,10/27/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,186564,9/20/2017,9/20/2017,8.15,10.76,2.61
Assignment Terminated - No Reason Given,186725,9/25/2017,10/2/2017,8.15,10.76,2.61
Rate Change,187152,10/2/2017,12/31/2017,8.15,10.76,2.61
Rate Change,207241,12/29/2017,12/31/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,207242,10/3/2017,11/28/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,207568,10/11/2017,10/12/2017,8.15,10.76,2.61
Assignment Terminated - Violation of Rules,207824,10/24/2017,11/17/2017,8.15,10.76,2.61
Assignment Terminated - No Reason Given,207847,10/13/2017,10/18/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,208051,10/19/2017,12/28/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,208182,10/19/2017,10/27/2017,8.15,10.76,2.61
Assignment Terminated - Laid Off,208271,10/23/2017,11/3/2017,8.15,10.76,2.61
Assignment Terminated - No Reason Given,208314,11/2/2017,11/3/2017,8.15,10.76,2.61
Assignment Terminated - Laid Off,208390,10/24/2017,11/3/2017,8.15,10.76,2.61
Rate Change,208659,12/18/2017,12/31/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,208678,10/30/2017,11/1/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,208853,10/31/2017,11/1/2017,8.15,10.76,2.61
Rate Change,208875,11/2/2017,12/31/2017,8.15,10.76,2.61
Assignment Terminated - Laid Off,208977,11/3/2017,11/3/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,209128,11/2/2017,11/3/2017,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,209864,11/10/2017,12/18/2017,8.15,10.76,2.61
Assignment Terminated - No Reason Given,210348,11/16/2017,11/16/2017,8.15,10.76,2.61
A Quit - Accepted Job with Client or Other Company,220754,11/21/2017,12/10/2017,8.15,10.76,2.61
Rate Change,221122,12/5/2017,12/31/2017,8.15,10.76,2.61
Assignment Terminated - Attendance,221458,12/5/2017,12/26/2017,8.15,10.76,2.61
Rate Change,221686,12/21/2017,12/31/2017,8.15,10.76,2.61
Rate Change,221813,12/8/2017,12/31/2017,8.15,10.76,2.61
Assignment Terminated - No Reason Given,222348,12/18/2017,12/22/2017,8.15,10.76,2.61
Deleted/Mistakenly entered,222415,1/5/2018,1/5/2018,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,222461,12/21/2017,12/22/2017,8.15,10.76,2.61
Deleted/Mistakenly entered,222853,1/2/2018,1/2/2018,8.15,10.76,2.61
Deleted/Mistakenly entered,223179,1/8/2018,1/8/2018,8.15,10.76,2.61
A Quit - Stopped Showing / No Notice,184166,7/24/2017,8/17/2017,8.25,11.04,2.79
Rate Change,184170,7/24/2017,8/20/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184285,7/24/2017,7/24/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184324,7/24/2017,8/3/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184327,7/24/2017,8/3/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184329,7/24/2017,8/3/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184330,7/24/2017,8/3/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184331,7/24/2017,8/3/2017,8.25,11.04,2.79
Deleted/Mistakenly entered,184332,7/24/2017,8/3/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,184526,8/7/2017,8/17/2017,8.25,11.04,2.79
