,Date,Name,Split,Amount
4000-05 · Elyria Advertising,,,,
,08/04/2017,Vivial,0102 · Huntington Operating,10.30
,08/18/2017,21st Century Media-Ohio,0102 · Huntington Operating,232.40
,08/18/2017,The Chronicle Telegram,0102 · Huntington Operating,127.84
,09/01/2017,Vivial,0102 · Huntington Operating,10.30
,09/22/2017,21st Century Media-Ohio,0102 · Huntington Operating,337.23
,09/22/2017,The Gazette,0102 · Huntington Operating,194.71
,10/06/2017,Vivial,0102 · Huntington Operating,10.30
,10/27/2017,21st Century Media-Ohio,0102 · Huntington Operating,902.46
,10/27/2017,The Gazette,0102 · Huntington Operating,285.92
,11/03/2017,Vivial,0102 · Huntington Operating,10.30
,11/10/2017,Tandem Media Network,0102 · Huntington Operating,18.89
,11/16/2017,21st Century Media-Ohio,0102 · Huntington Operating,133.24
,11/16/2017,The Chronicle Telegram,0102 · Huntington Operating,51.03
,12/01/2017,Vivial,0102 · Huntington Operating,10.65
,12/21/2017,21st Century Media-Ohio,0102 · Huntington Operating,114.34
,12/21/2017,University Hospitals Corporate Health,0102 · Huntington Operating,156.00
,12/29/2017,Vivial,0102 · Huntington Operating,10.65
,01/25/2018,The Chronicle Telegram,0102 · Huntington Operating,102.97
,01/25/2018,21st Century Media-Ohio,0102 · Huntington Operating,348.78
,01/26/2018,Vivial,0102 · Huntington Operating,10.65
,02/09/2018,21st Century Media-Ohio,0102 · Huntington Operating,620.80
4000-06 · Akron Advertising,,,,
,08/03/2017,Barberton Herald,2063 · Fidelity Visa Signature Card,45.00
,08/11/2017,Akron Beacon Journal,0102 · Huntington Operating,853.50
,09/14/2017,Akron Beacon Journal,0102 · Huntington Operating,695.50
,09/21/2017,Barberton Herald,2063 · Fidelity Visa Signature Card,125.00
,10/13/2017,Akron Beacon Journal,0102 · Huntington Operating,318.00
,10/27/2017,Barberton Herald,2063 · Fidelity Visa Signature Card,125.00
,11/10/2017,Akron Beacon Journal,0102 · Huntington Operating,83.00
4000-07 · Cols East Advertising,,,,
,09/14/2017,Job News,0102 · Huntington Operating,"1,345.00"
,11/16/2017,"Gatehouse Media Ohio Holdings II, Inc.",0102 · Huntington Operating,770.00
4000-15 · Staffing Advertising,,,,
,11/16/2017,Chicago Tribune,0102 · Huntington Operating,150.00
4000-21 · Twenty One Advertising,,,,
,08/14/2017,Snagajob,2063 · Fidelity Visa Signature Card,332.00
,08/25/2017,Job News,0102 · Huntington Operating,"1,345.00"
,10/13/2017,iHeartMedia,0102 · Huntington Operating,495.00
,11/01/2017,La Prensa,0102 · Huntington Operating,600.00
,12/21/2017,Job News,0102 · Huntington Operating,"1,345.00"
,12/21/2017,Pioneer-News,0102 · Huntington Operating,290.06
,01/19/2018,La Prensa,0102 · Huntington Operating,200.00
4000 · Advertising Expense - Other,,,,
,08/01/2017,Sun Newspaper,2063 · Fidelity Visa Signature Card,68.00
,08/01/2017,Facebook,2063 · Fidelity Visa Signature Card,10.00
,08/01/2017,Facebook,2063 · Fidelity Visa Signature Card,344.41
,08/02/2017,Indeed,2063 · Fidelity Visa Signature Card,490.42
,08/02/2017,Indeed,2063 · Fidelity Visa Signature Card,332.76
,08/02/2017,Indeed,2063 · Fidelity Visa Signature Card,414.52
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/02/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
