AIdent,Activation Day,Branch,City,How Heard Of
184128,8/1/2017,08-Columbus West,Columbus,Friend/Relative Referral
184129,8/1/2017,05-Elyria,lorain,
184130,8/1/2017,03-Independence,bedford hts,Craigslist
184131,8/1/2017,12-Chicago,Berwyn,Craigslist
184132,8/1/2017,08-Columbus West,Columbus,Other web site
184133,8/1/2017,12-Chicago,Chicago,Friend/Relative Referral
184134,8/1/2017,07-Columbus East,Columbus ,Friend/Relative Referral
184135,8/1/2017,03-Independence,cleveland,Friend/Relative Referral
184136,8/1/2017,05-Elyria,Avon Lake,Craigslist
184137,8/1/2017,08-Columbus West,columbus,Friend/Relative Referral
184138,8/1/2017,03-Independence,cleveland,Craigslist
184139,8/1/2017,10-West Chester,Cincinnati,Friend/Relative Referral
184140,8/1/2017,12-Chicago,morris,Friend/Relative Referral
184141,8/1/2017,03-Independence,CLEVELAND,
184142,8/1/2017,06-Akron,Akron,Indeed
184143,8/1/2017,05-Elyria,N. Ridgeville,Friend/Relative Referral
184144,8/1/2017,03-Independence,cleveland,Indeed
184145,8/1/2017,06-Akron,Akron,Indeed
184146,8/1/2017,05-Elyria,Lorain,Friend/Relative Referral
184147,8/1/2017,10-West Chester,Trenton,Craigslist
184148,8/1/2017,05-Elyria,Lorain,Friend/Relative Referral
184149,8/1/2017,05-Elyria,Lorain ,Indeed
184150,8/1/2017,03-Independence,cleveland,Craigslist
184151,8/1/2017,03-Independence,cleveland,Indeed
184152,8/1/2017,08-Columbus West,Columbus ,Friend/Relative Referral
184153,8/1/2017,03-Independence,Aurora,Indeed
184154,8/1/2017,11-Florence,Elsmere,Friend/Relative Referral
184155,8/1/2017,12-Chicago,Chicago,Craigslist
184156,8/1/2017,11-Florence,elsmere,Friend/Relative Referral
184157,8/1/2017,11-Florence,cincinnati,Other web site
184158,8/1/2017,03-Independence,,Advanced Careers
184159,8/1/2017,03-Independence,Bedford ,Indeed
184160,8/1/2017,07-Columbus East,Blacklick,Newspaper Ad
184161,8/1/2017,03-Independence,Cleveland ,Friend/Relative Referral
184162,8/1/2017,09-Lancaster,Lancaster,Friend/Relative Referral
184163,8/1/2017,06-Akron,AKRON,
184164,8/1/2017,03-Independence,Cleveland,Friend/Relative Referral
184165,8/1/2017,06-Akron,Brunswick,
184166,8/1/2017,12-Chicago,Park forest ,
184167,8/1/2017,12-Chicago,Richton Park,
184168,8/1/2017,11-Florence,Cincinnati ,Indeed
184169,8/1/2017,06-Akron,Canton,Indeed
184170,8/1/2017,12-Chicago,Park Forest ,
184171,8/1/2017,05-Elyria,Sandusky,Other web site
184172,8/1/2017,06-Akron,AKRON,
184173,8/1/2017,12-Chicago,Park Forest,
184174,8/1/2017,05-Elyria,,Advanced Careers
184175,8/1/2017,12-Chicago,Bolingbrook,Flyer
184176,8/1/2017,08-Columbus West,Grovecity,Friend/Relative Referral
184177,8/1/2017,09-Lancaster,lancaster,Friend/Relative Referral
184178,8/1/2017,07-Columbus East,Columbus ,Friend/Relative Referral
184179,8/1/2017,03-Independence,Euclid,Friend/Relative Referral
184180,8/1/2017,11-Florence,cincinnati,Craigslist
184181,8/1/2017,11-Florence,Cincinnati,Indeed
184182,8/1/2017,11-Florence,Cincinnati ,Friend/Relative Referral
184183,8/1/2017,05-Elyria,Vermilion,Craigslist
184184,8/1/2017,12-Chicago,Romeoville,Flyer
184185,8/1/2017,11-Florence,,Advanced Careers
184186,8/1/2017,07-Columbus East,Columbus,Friend/Relative Referral
184188,8/1/2017,12-Chicago,Chicago ,
184189,8/1/2017,03-Independence,Cleveland,Friend/Relative Referral
184190,8/1/2017,07-Columbus East,,Advanced Careers
184191,8/1/2017,10-West Chester,,Advanced Careers
184192,8/1/2017,03-Independence,Lakewood,Craigslist
184193,8/2/2017,11-Florence,Cincinnati,Flyer
184194,8/2/2017,03-Independence,Parma,Indeed
184195,8/2/2017,10-West Chester,,Advanced Careers
184196,8/2/2017,08-Columbus West,colombus,
184197,8/2/2017,08-Columbus West,columbus,
184198,8/2/2017,11-Florence,Florence,Flyer
184199,8/2/2017,11-Florence,Dry Ridge,Craigslist
184200,8/2/2017,08-Columbus West,Columbus,Friend/Relative Referral
184201,8/2/2017,05-Elyria,Lorain,Indeed
184202,8/2/2017,06-Akron,Akron ,
184203,8/2/2017,11-Florence,cincinnati,Other web site
184204,8/2/2017,08-Columbus West,GALLOWAY,Friend/Relative Referral
184205,8/2/2017,03-Independence,Cleveland,
184206,8/2/2017,08-Columbus West,galloway,Friend/Relative Referral
184207,8/2/2017,07-Columbus East,Reynoldsburg,Friend/Relative Referral
184208,8/2/2017,06-Akron,Akron,
184209,,10-West Chester,,
184210,8/2/2017,07-Columbus East,Canal winchester,Friend/Relative Referral
184211,8/2/2017,12-Chicago,Chicago,Craigslist
184213,8/2/2017,06-Akron,Akron,
184214,8/2/2017,06-Akron,Mantua,
184216,8/2/2017,12-Chicago,Country Club Hills ,Craigslist
184217,8/2/2017,12-Chicago,Crestwood ,Craigslist
184218,8/2/2017,05-Elyria,Elyria,Friend/Relative Referral
184219,8/2/2017,05-Elyria,elyria,Indeed
184220,8/2/2017,05-Elyria,Lorain,Indeed
184221,8/2/2017,12-Chicago,joliet,Indeed
184222,8/2/2017,11-Florence,Cincinnati ,Friend/Relative Referral
184223,8/2/2017,03-Independence,Cleveland ,Indeed
184224,8/2/2017,06-Akron,Akron,
184225,8/2/2017,06-Akron,Mantua,Indeed
184226,8/2/2017,12-Chicago,Chicago,Craigslist
184227,8/2/2017,05-Elyria,Elyria,
184228,8/2/2017,12-Chicago,Melrose Park,Flyer
184229,8/2/2017,12-Chicago,BELLWOOD,Flyer
184230,8/2/2017,12-Chicago,Chicago,Other web site
184231,8/2/2017,08-Columbus West,colombus,Other web site
184232,8/2/2017,06-Akron,Cuyahoga Falls,
184233,8/2/2017,11-Florence,cincinnati,Friend/Relative Referral
184234,8/2/2017,11-Florence,Burlington,Friend/Relative Referral
184235,8/2/2017,08-Columbus West,Columbus ,Other web site
184236,8/2/2017,06-Akron,akron,Craigslist
184237,8/2/2017,12-Chicago,Riverdale,Friend/Relative Referral
184238,8/2/2017,12-Chicago,Calumet City,
184239,8/2/2017,12-Chicago,Chicago,
184240,8/2/2017,12-Chicago,Riverdale,Friend/Relative Referral
184241,8/2/2017,09-Lancaster,lancaster,Flyer
184242,8/2/2017,12-Chicago,Chicago,
184243,8/2/2017,08-Columbus West,columbus,Other web site
184244,8/2/2017,12-Chicago,Chicago,Craigslist
184245,8/2/2017,12-Chicago,Park Forest,
184246,8/2/2017,12-Chicago,Robbins,Indeed
184247,8/2/2017,06-Akron,rittman,Indeed
184248,8/2/2017,03-Independence,cleveland,
184249,8/2/2017,07-Columbus East,columbus,Friend/Relative Referral
184250,8/2/2017,06-Akron,Akron ,
184251,8/2/2017,08-Columbus West,Columbus ,Friend/Relative Referral
184252,8/2/2017,07-Columbus East,columbus,Indeed
184253,8/2/2017,06-Akron,akron,Craigslist
184254,8/2/2017,07-Columbus East,columbus,
184255,8/2/2017,08-Columbus West,columbus,Friend/Relative Referral
184256,8/2/2017,11-Florence,covington,Friend/Relative Referral
184257,8/2/2017,08-Columbus West,columbus,Friend/Relative Referral
184258,8/2/2017,12-Chicago,Chicago,Flyer
184259,8/2/2017,06-Akron,Barberton,
184261,8/2/2017,11-Florence,cincinnati,Friend/Relative Referral
184262,8/2/2017,12-Chicago,Chicago ,Friend/Relative Referral
184264,8/2/2017,07-Columbus East,,Advanced Careers
184265,8/2/2017,07-Columbus East,Columbus,Friend/Relative Referral
184266,8/2/2017,12-Chicago,Park Forest,
184267,8/2/2017,11-Florence,EDGEWOOD,Flyer
184268,8/2/2017,08-Columbus West,colmbus,Craigslist
184269,8/2/2017,12-Chicago,Bolingbrook,Friend/Relative Referral
184270,8/2/2017,12-Chicago,Chicago,Other web site
184271,8/2/2017,12-Chicago,Bellwood,
184272,8/2/2017,11-Florence,Cincinnati ,Indeed
184273,8/2/2017,12-Chicago,Chicago Heights,
184274,8/2/2017,06-Akron,akron,
184275,8/2/2017,12-Chicago,bolingbrook ,Flyer
184276,8/2/2017,07-Columbus East,Columbus,Friend/Relative Referral
184277,8/2/2017,12-Chicago,Dixmoor,
184278,8/2/2017,12-Chicago,Chicago,Friend/Relative Referral
184279,8/2/2017,05-Elyria,Lorain,Friend/Relative Referral
184280,8/2/2017,11-Florence,Florence,Flyer
184281,8/2/2017,10-West Chester,Cincinnati,Friend/Relative Referral
184282,8/3/2017,12-Chicago,Chicago ,Friend/Relative Referral
184283,8/3/2017,12-Chicago,Chicago,Other web site
184284,8/3/2017,06-Akron,Akron,
184285,8/3/2017,12-Chicago,Park Forest,
184286,8/3/2017,08-Columbus West,Columbus,Other web site
184287,8/3/2017,11-Florence,Cincinnati,Craigslist
184288,8/3/2017,08-Columbus West,Columbus,Other web site
184289,8/3/2017,06-Akron,Stow,
184290,8/3/2017,03-Independence,cleveland,Friend/Relative Referral
184291,8/3/2017,03-Independence,maple heights,Craigslist
184292,8/3/2017,03-Independence,Brookpark,
184293,8/3/2017,05-Elyria,Lorain,Friend/Relative Referral
184294,8/3/2017,06-Akron,akron,
