Item_ID,AIdent,Activation,Completion,Pay_Rate,Bill_Rate,Margin,Hours_Worked,Branch,City,How_Heard,Profit
668429,207668,10/18/2017,,25,32.48,7.48,806,03-Independence,brookpark,Indeed,6028.88
665085,185611,9/6/2017,2/4/2018,15.5,20.93,5.43,925.6,12-Chicago,Bolingbrook,Newspaper Ad,5026.008
665695,185393,9/7/2017,,14.47,18.8,4.33,1047,03-Independence,Cleveland,Indeed,4533.51
666322,186618,9/23/2017,,11,15.84,4.84,929.75,10-West Chester,Cincinnati,Advanced Careers,4499.99
664679,185246,8/24/2017,,8.5,12.6,4.1,1025.58,05-Elyria,lorain,Friend/Relative Referral,4204.878
665914,186005,9/20/2017,,11,14.63,3.63,1098,08-Columbus West,Hilliard,Friend/Relative Referral,3985.74
666633,185424,9/26/2017,2/12/2018,11.25,15.64,4.39,897.4,05-Elyria,Lorain,Other web site,3939.586
663964,184693,8/16/2017,2/18/2018,10.65,14.59,3.94,983.75,05-Elyria,Lorain,,3875.975
668273,207673,10/16/2017,,11,14.63,3.63,1065.5,08-Columbus West,hilliard,Friend/Relative Referral,3867.765
663920,184978,8/6/2017,1/22/2018,12.5,16.13,3.63,1064.5,07-Columbus East,COLUMBUS,,3864.135
662895,184163,7/25/2017,,9.75,12.87,3.12,1206,06-Akron,AKRON,,3762.72
664019,184901,8/18/2017,12/4/2017,10.5,14.7,4.2,885,06-Akron,Akron,,3717
667301,207636,10/2/2017,,12,16.07,4.07,900.8,12-Chicago,Chicago Heights,,3666.256
665037,185466,8/29/2017,,10.25,13.53,3.28,1104.75,06-Akron,Akron,,3623.58
665813,185931,9/12/2017,1/8/2018,12.7,17.91,5.21,693.14,11-Florence,Dayton,,3611.2594
665954,185435,9/11/2017,,9.75,12.87,3.12,1149,06-Akron,AKRON,,3584.88
664093,184845,8/16/2017,,9.75,12.87,3.12,1140,06-Akron,akron,Friend/Relative Referral,3556.8
665350,185860,9/5/2017,2/1/2018,11,14.96,3.96,891.18,08-Columbus West,canal winchester,Walk-In,3529.0728
665184,185242,9/6/2017,1/20/2018,13.25,17.89,4.64,758,12-Chicago,Dixmoor,,3517.12
664906,185341,9/5/2017,12/28/2017,16.8,22.85,6.05,558.25,08-Columbus West,Reynoldsburg,Walk-In,3377.4125
669314,207406,11/1/2017,,14.28,19.56,5.28,635.75,05-Elyria,Elyria,Indeed,3356.76
668461,184709,10/18/2017,,12,15.96,3.96,835,11-Florence,Newport,Friend/Relative Referral,3306.6
666311,186817,9/26/2017,,10.5,14.7,4.2,785.6,06-Akron,akron,Walk-In,3299.52
666234,186636,9/21/2017,,10,14,4,823,05-Elyria,Grafton,Walk-In,3292
671004,209932,11/14/2017,,12,16.8,4.8,671.47,06-Akron,cuyahoga falls,Indeed,3223.056
665509,186008,9/12/2017,1/5/2018,11,15.4,4.4,725.75,06-Akron,Ravenna,Craigslist,3193.3
668152,208146,10/23/2017,1/23/2018,14,19.46,5.46,583.75,06-Akron,Canton,Indeed,3187.275
671652,209248,11/20/2017,,14.28,19.14,4.86,655.75,05-Elyria,Brunswick,Friend/Relative Referral,3186.945
667960,207366,10/16/2017,,12,16.2,4.2,745.42,07-Columbus East,columbus,Friend/Relative Referral,3130.764
667436,207364,10/16/2017,2/19/2018,10.8,14.47,3.67,852.5,05-Elyria,LORAIN,Friend/Relative Referral,3128.675
664263,185057,8/7/2017,,10,13.25,3.25,957.7,12-Chicago,Joliet,,3112.525
663635,184421,8/9/2017,12/1/2017,12,15.84,3.84,805.75,05-Elyria,lorain,,3094.08
664519,185348,8/29/2017,1/15/2018,12.25,16.23,3.98,772,07-Columbus East,Columbus,Friend/Relative Referral,3072.56
668515,186782,10/25/2017,,11.4,15.96,4.56,669.75,06-Akron,youngstown,Indeed,3054.06
666141,186638,9/21/2017,,10.75,14.19,3.44,882.75,06-Akron,akron,,3036.66
665966,185384,8/28/2017,,10.25,13.53,3.28,923,06-Akron,Akron,Friend/Relative Referral,3027.44
665352,184862,9/11/2017,,9,11.88,2.88,1035.5,03-Independence,Cleveland,Other web site,2982.24
663270,184137,8/2/2017,,10,13.8,3.8,777,08-Columbus West,columbus,Friend/Relative Referral,2952.6
666142,186612,9/21/2017,,10.25,13.53,3.28,896.75,06-Akron,Akron,,2941.34
668790,185875,10/23/2017,,13,17.36,4.36,674.1,12-Chicago,Chicago,Walk-In,2939.076
665201,184592,9/7/2017,,10,13.4,3.4,860.69,08-Columbus West,columbus,Friend/Relative Referral,2926.346
667368,186608,10/5/2017,1/3/2018,15,22.05,7.05,415,07-Columbus East,Westerville,Zip Recruiter,2925.75
670836,209833,11/9/2017,,10,14.8,4.8,606.25,05-Elyria,ELYRIA,Walk-In,2910
665047,185467,9/6/2017,,9.25,12.16,2.91,990,03-Independence,Akron,Friend/Relative Referral,2880.9
665957,185674,9/6/2017,,9.75,12.87,3.12,921,06-Akron,Creston,,2873.52
665751,186183,9/13/2017,,10.4,13.78,3.38,849.2,12-Chicago,Joliet,Friend/Relative Referral,2870.296
670001,207383,11/8/2017,2/2/2018,16,22.16,6.16,465.75,03-Independence,poland,Indeed,2869.02
665049,185470,9/6/2017,,9.25,12.16,2.91,985.5,03-Independence,Akron,Friend/Relative Referral,2867.805
664193,184716,8/14/2017,1/13/2018,11,14.63,3.63,788.75,11-Florence,Elsmere,,2863.1625
669548,208220,11/6/2017,,16,20.88,4.88,586.4,03-Independence,Parma,Indeed,2861.632
665552,186006,9/12/2017,1/10/2018,13,17.23,4.23,673.42,07-Columbus East,Westerville ,,2848.5666
667265,186422,10/9/2017,1/12/2018,9.77,13.48,3.71,766.5,03-Independence,cleveland,Indeed,2843.715
664636,185610,8/23/2017,1/4/2018,12.5,16.13,3.63,774.75,07-Columbus East,COLUMBUS,,2812.3425
666318,186274,9/18/2017,1/15/2018,11.25,15.64,4.39,640.4,05-Elyria,Columbia Station,,2811.356
666528,186697,9/29/2017,,10.25,13.53,3.28,856.75,06-Akron,Akron,Other web site,2810.14
665909,186007,9/20/2017,1/22/2018,11,14.63,3.63,772.5,08-Columbus West,hilliard,Friend/Relative Referral,2804.175
668993,185830,10/16/2017,,11,14.63,3.63,769,08-Columbus West,columbus ,Craigslist,2791.47
671274,208969,11/14/2017,,12,17.4,5.4,516.5,03-Independence,OAKWOOD VILLAGE,Indeed,2789.1
667965,207265,10/16/2017,,12.15,16.4,4.25,654.8,07-Columbus East,grove city ,Friend/Relative Referral,2782.9
666683,186779,9/25/2017,,11,14.63,3.63,766.5,11-Florence,Corinth,Friend/Relative Referral,2782.395
668054,207420,10/17/2017,,10.65,14.59,3.94,705.5,05-Elyria,lorain,Friend/Relative Referral,2779.67
667239,185623,10/11/2017,2/8/2018,12,15.84,3.84,723.67,03-Independence,cLEVELAND,Friend/Relative Referral,2778.8928
666480,187085,9/29/2017,,9.5,12.54,3.04,914,03-Independence,Cleveland,Friend/Relative Referral,2778.56
665701,185533,9/10/2017,1/27/2018,11,14.58,3.58,773.5,11-Florence,florence,Friend/Relative Referral,2769.13
665968,185954,9/11/2017,,10.25,13.53,3.28,840,06-Akron,Cuyahoga Falls,,2755.2
668354,185367,10/20/2017,,11,14.85,3.85,709.75,11-Florence,Cincinnati,,2732.5375
676179,222256,1/1/2018,,25,32.48,7.48,365,03-Independence,north royalton,,2730.2
667815,184154,10/9/2017,,12,15.96,3.96,687.68,11-Florence,Elsmere,Friend/Relative Referral,2723.2128
668353,185366,10/20/2017,,11,14.85,3.85,707.03,11-Florence,cincinnati oh ,,2722.0655
666929,207249,10/9/2017,,10.5,14.14,3.64,747.73,03-Independence,Euclid,Other web site,2721.7372
664053,184903,8/16/2017,,10,13,3,906.5,07-Columbus East,Westerville,,2719.5
670007,208211,11/8/2017,2/6/2018,15,20.78,5.78,467.75,03-Independence,garfield hts.,Indeed,2703.595
670480,209876,11/10/2017,,10,14,4,672.25,06-Akron,Canton,Friend/Relative Referral,2689
666159,186720,9/25/2017,,9.25,12.16,2.91,922.75,03-Independence,Cleveland,Friend/Relative Referral,2685.2025
666846,186161,10/4/2017,,9.5,12.54,3.04,882,03-Independence,Maple Heights,,2681.28
668805,208204,10/23/2017,,12,15.84,3.84,696.75,06-Akron,Barberton,,2675.52
669316,207698,10/23/2017,,13.75,18.29,4.54,586.33,12-Chicago,Lisle,Craigslist,2661.9382
667963,184740,10/16/2017,,11.75,15.86,4.11,646.56,07-Columbus East,grove city,Friend/Relative Referral,2657.3616
665169,185722,8/28/2017,,10,13.25,3.25,817.3,12-Chicago,Joliet,,2656.225
670050,208911,10/30/2017,,13,17.23,4.23,616.2,12-Chicago,Joliet,Friend/Relative Referral,2606.526
670019,208896,11/8/2017,,11,15.18,4.18,621.5,09-Lancaster,Lancaster,,2597.87
667156,207648,10/2/2017,,10,13.41,3.41,759.5,12-Chicago,Markham,,2589.895
672558,209736,11/20/2017,,12.12,16.24,4.12,618.25,08-Columbus West,columbus,Walk-In,2547.19
673666,221017,12/4/2017,,13,18.46,5.46,466,10-West Chester,Cincinnati,Friend/Relative Referral,2544.36
666161,186702,9/25/2017,,9.25,12.16,2.91,871,03-Independence,Cleveland,Friend/Relative Referral,2534.61
671548,210064,11/17/2017,,13,17.23,4.23,598.1,07-Columbus East,Columbus ,Craigslist,2529.963
666107,186598,9/21/2017,,10,13,3,834.97,09-Lancaster,Amanda,Friend/Relative Referral,2504.91
667226,185953,9/1/2017,,10.25,13.53,3.28,759,06-Akron,Cuyahoga Falls,Friend/Relative Referral,2489.52
665927,186349,9/15/2017,1/23/2018,9,12.33,3.33,747.5,05-Elyria,elyria,Friend/Relative Referral,2489.175
665075,184649,8/28/2017,12/8/2017,15,19.8,4.8,518.5,07-Columbus East,col,,2488.8
667388,207680,10/11/2017,,9.5,12.54,3.04,818,03-Independence,warrensville hts,Walk-In,2486.72
668869,185204,8/22/2017,,10.5,14.28,3.78,657.75,08-Columbus West,columbus,Other web site,2486.295
670048,208494,10/30/2017,2/2/2018,13.5,18.02,4.52,549.9,12-Chicago,Bolingbrook,,2485.548
667594,207878,10/16/2017,1/15/2018,15,19.8,4.8,515.25,07-Columbus East,Columbus,Friend/Relative Referral,2473.2
669541,186246,11/5/2017,,12.5,16.5,4,617,06-Akron,akron,Craigslist,2468
669286,186478,10/23/2017,,10.27,14.07,3.8,649,05-Elyria,Elyria,,2466.2
