,Item_ID,AIdent,Activation,Completion,Pay_Rate,Bill_Rate,Margin,Hours_Worked,Branch,City,How_Heard,Profit
0,676177,221756,1/3/2018,,30,38.28,8.28,288,03-Independence,Berea,Indeed,2384.64
1,677179,224359,1/29/2018,2/12/2018,25,33,8,80,07-Columbus East,Hilliard,,640
2,678357,224359,1/29/2018,,25,33,8,80,07-Columbus East,Hilliard,,640
3,668429,207668,10/18/2017,,25,32.48,7.48,806,03-Independence,brookpark,Indeed,6028.88
4,676179,222256,1/1/2018,,25,32.48,7.48,365,03-Independence,north royalton,,2730.2
5,669522,209366,11/6/2017,12/29/2017,20,26.1,6.1,300,03-Independence,Cleveland,Friend/Relative Referral,1830
6,677216,223233,1/22/2018,,20,25.6,5.6,193.5,08-Columbus West,Pickerington,Other web site,1083.6
7,664906,185341,9/5/2017,12/28/2017,16.8,22.85,6.05,558.25,08-Columbus West,Reynoldsburg,Walk-In,3377.4125
8,666956,185934,10/2/2017,12/17/2017,17,22.7,5.7,431.66,07-Columbus East,columbus ,Walk-In,2460.462
9,674449,185934,12/19/2017,1/17/2018,14,18.69,4.69,76.75,07-Columbus East,columbus ,Walk-In,359.9575
10,674925,185934,12/18/2017,12/18/2017,14,18.69,4.69,2.6,07-Columbus East,columbus ,Walk-In,12.194
11,666018,185934,9/20/2017,10/1/2017,14,18.62,4.62,54.2,07-Columbus East,columbus ,Walk-In,250.404
12,666955,186389,10/2/2017,12/17/2017,17,22.7,5.7,420.38,08-Columbus West,columbus ,Advanced Careers,2396.166
13,674448,186389,12/19/2017,1/18/2018,14,18.69,4.69,92.6,08-Columbus West,columbus ,Advanced Careers,434.294
14,674924,186389,12/18/2017,12/18/2017,14,18.69,4.69,32.72,08-Columbus West,columbus ,Advanced Careers,153.4568
15,665851,186389,9/18/2017,10/1/2017,14,18.62,4.62,70.36,08-Columbus West,columbus ,Advanced Careers,325.0632
16,677221,186389,1/24/2018,1/28/2018,11.35,14.98,3.63,12.87,08-Columbus West,columbus ,Advanced Careers,46.7181
17,671390,209844,11/15/2017,12/8/2017,17,22.7,5.7,156.6,07-Columbus East,dublin,Walk-In,892.62
18,668042,207383,10/20/2017,11/8/2017,16,22.16,6.16,149.25,03-Independence,poland,Indeed,919.38
19,670001,207383,11/8/2017,2/2/2018,16,22.16,6.16,465.75,03-Independence,poland,Indeed,2869.02
20,667940,208171,10/19/2017,12/2/2017,17,22.1,5.1,317.75,06-Akron,akron,Craigslist,1620.525
21,667368,186608,10/5/2017,1/3/2018,15,22.05,7.05,415,07-Columbus East,Westerville,Zip Recruiter,2925.75
22,668484,184249,10/23/2017,11/1/2017,16,21.36,5.36,36,07-Columbus East,columbus,Friend/Relative Referral,192.96
23,671385,184249,11/15/2017,11/22/2017,16,21.36,5.36,42.8,07-Columbus East,columbus,Friend/Relative Referral,229.408
24,665934,184249,9/11/2017,9/11/2017,13.25,17.62,4.37,7,07-Columbus East,columbus,Friend/Relative Referral,30.59
25,664127,184249,8/15/2017,8/27/2017,11,15.18,4.18,8.02,07-Columbus East,columbus,Friend/Relative Referral,33.5236
26,663690,184249,8/4/2017,8/14/2017,10,13.2,3.2,28,07-Columbus East,columbus,Friend/Relative Referral,89.6
27,670632,209671,11/10/2017,11/21/2017,16,21.36,5.36,35.14,07-Columbus East,columbus,Indeed,188.3504
28,666969,186253,10/2/2017,10/5/2017,16,21.28,5.28,8,07-Columbus East,Reynoldsburg,Friend/Relative Referral,42.24
29,666465,186253,9/27/2017,10/1/2017,13.25,17.62,4.37,22,07-Columbus East,Reynoldsburg,Friend/Relative Referral,96.14
30,674414,185097,12/19/2017,12/28/2017,15.75,21.26,5.51,35,12-Chicago,Bolingbrook,Indeed,192.85
31,677636,185611,2/5/2018,,15.75,21.26,5.51,139,12-Chicago,Bolingbrook,Newspaper Ad,765.89
32,665085,185611,9/6/2017,2/4/2018,15.5,20.93,5.43,925.6,12-Chicago,Bolingbrook,Newspaper Ad,5026.008
33,666997,207465,10/9/2017,12/18/2017,15.75,21.26,5.51,332.75,12-Chicago,Joliet ,Craigslist,1833.4525
34,674415,222100,12/19/2017,12/28/2017,15.75,21.26,5.51,34,12-Chicago,Chicago,Indeed,187.34
35,674413,222298,12/19/2017,,15.75,21.26,5.51,307.25,12-Chicago,Berwyn,Craigslist,1692.9475
36,675978,223148,1/3/2018,1/10/2018,15.75,21.26,5.51,27,12-Chicago,Plainfield,,148.77
37,677342,223722,1/24/2018,1/29/2018,15.75,21.26,5.51,19.5,12-Chicago,Monee,,107.445
38,677343,223982,1/22/2018,1/29/2018,15.75,21.26,5.51,42.75,12-Chicago,westmont ,Walk-In,235.5525
39,678056,224242,2/6/2018,2/19/2018,15.75,21.26,5.51,40.5,12-Chicago,Naperville,Advanced Careers,223.155
40,670667,207811,11/5/2017,11/7/2017,16,21.12,5.12,7.97,11-Florence,cincinnati,Friend/Relative Referral,40.8064
41,668735,207811,10/22/2017,11/4/2017,15,19.8,4.8,52.36,11-Florence,cincinnati,Friend/Relative Referral,251.328
42,667700,207811,10/16/2017,10/21/2017,14,18.48,4.48,28.26,11-Florence,cincinnati,Friend/Relative Referral,126.6048
43,670664,208249,11/5/2017,11/7/2017,16,21.12,5.12,3.18,11-Florence,Cincinnati,Walk-In,16.2816
44,668385,208249,10/24/2017,11/4/2017,15,19.8,4.8,36,11-Florence,Cincinnati,Walk-In,172.8
45,670306,184338,11/9/2017,11/26/2017,16,20.96,4.96,63.23,11-Florence,Florence,Indeed,313.6208
46,673757,184338,12/3/2017,12/16/2017,12.5,16.63,4.13,2.5,11-Florence,Florence,Indeed,10.325
47,676952,184338,1/16/2018,1/20/2018,12.5,16.63,4.13,19.25,11-Florence,Florence,Indeed,79.5025
48,674950,184338,12/19/2017,1/11/2018,11.5,15.24,3.74,20.75,11-Florence,Florence,Indeed,77.605
49,663606,184338,8/6/2017,10/31/2017,11,14.58,3.58,328,11-Florence,Florence,Indeed,1174.24
50,670309,184407,11/9/2017,12/16/2017,16,20.96,4.96,39.56,11-Florence,Covington,Friend/Relative Referral,196.2176
51,670312,184407,11/9/2017,11/9/2017,16,20.96,4.96,23.38,11-Florence,Covington,Friend/Relative Referral,115.9648
52,673759,184407,12/3/2017,12/9/2017,12.5,16.63,4.13,2.5,11-Florence,Covington,Friend/Relative Referral,10.325
53,676547,184407,1/9/2018,1/20/2018,12.5,16.63,4.13,51.25,11-Florence,Covington,Friend/Relative Referral,211.6625
54,674957,184407,12/19/2017,12/22/2017,11.5,15.24,3.74,21,11-Florence,Covington,Friend/Relative Referral,78.54
55,663607,184407,8/6/2017,10/31/2017,11,14.58,3.58,335.5,11-Florence,Covington,Friend/Relative Referral,1201.09
56,670658,184488,11/5/2017,12/11/2017,16,20.96,4.96,121.42,11-Florence,ERLANGER,Friend/Relative Referral,602.2432
57,668386,184488,10/24/2017,11/4/2017,15,19.8,4.8,45.63,11-Florence,ERLANGER,Friend/Relative Referral,219.024
58,663808,184488,8/9/2017,8/29/2017,11,14.58,3.58,77.75,11-Florence,ERLANGER,Friend/Relative Referral,278.345
59,671674,185443,11/13/2017,11/24/2017,16,20.96,4.96,113.72,11-Florence,Cincinatti,Friend/Relative Referral,564.0512
60,670566,185443,11/5/2017,11/12/2017,15,19.65,4.65,43,11-Florence,Cincinatti,Friend/Relative Referral,199.95
61,668703,185443,10/22/2017,11/4/2017,14,18.48,4.48,50.51,11-Florence,Cincinatti,Friend/Relative Referral,226.2848
62,668072,185443,10/18/2017,10/21/2017,13,17.16,4.16,21.71,11-Florence,Cincinatti,Friend/Relative Referral,90.3136
63,664923,185443,8/28/2017,10/16/2017,11,14.58,3.58,234.25,11-Florence,Cincinatti,Friend/Relative Referral,838.615
64,670719,185809,11/5/2017,12/16/2017,16,20.96,4.96,231.48,11-Florence,cincinnati,Friend/Relative Referral,1148.1408
65,668779,185809,10/22/2017,11/4/2017,15,19.8,4.8,46.05,11-Florence,cincinnati,Friend/Relative Referral,221.04
66,668124,185809,10/15/2017,10/21/2017,14,18.48,4.48,35.97,11-Florence,cincinnati,Friend/Relative Referral,161.1456
67,678064,185809,2/8/2018,,12.5,16.63,4.13,47.2,11-Florence,cincinnati,Friend/Relative Referral,194.936
68,667715,185809,10/9/2017,10/14/2017,12,15.84,3.84,49.37,11-Florence,cincinnati,Friend/Relative Referral,189.5808
69,674837,185809,12/17/2017,1/2/2018,12,15.84,3.84,84.32,11-Florence,cincinnati,Friend/Relative Referral,323.7888
70,670672,186226,11/5/2017,12/16/2017,16,20.96,4.96,139.79,11-Florence,Cincinnati,,693.3584
71,668620,186226,10/26/2017,11/4/2017,15,19.8,4.8,48.75,11-Florence,Cincinnati,,234
72,675645,186226,1/3/2018,1/3/2018,12,15.96,3.96,15.01,11-Florence,Cincinnati,,59.4396
73,676063,186226,1/3/2018,1/27/2018,12,15.96,3.96,56.83,11-Florence,Cincinnati,,225.0468
74,665722,186226,9/13/2017,9/13/2017,11.5,15.24,3.74,8,11-Florence,Cincinnati,,29.92
75,665888,186226,9/15/2017,9/29/2017,11,14.63,3.63,67.25,11-Florence,Cincinnati,,244.1175
76,670673,186741,11/5/2017,12/16/2017,16,20.96,4.96,224.5,11-Florence,Loveland,Friend/Relative Referral,1113.52
77,668621,186741,10/26/2017,11/4/2017,15,19.8,4.8,42.28,11-Florence,Loveland,Friend/Relative Referral,202.944
78,674821,186741,12/17/2017,1/22/2018,12,15.84,3.84,193.65,11-Florence,Loveland,Friend/Relative Referral,743.616
79,666759,186741,9/25/2017,10/24/2017,11,14.85,3.85,125.25,11-Florence,Loveland,Friend/Relative Referral,482.2125
80,669472,186741,10/22/2017,10/27/2017,11,14.58,3.58,16,11-Florence,Loveland,Friend/Relative Referral,57.28
81,669601,186776,11/6/2017,12/16/2017,16,20.96,4.96,262.17,10-West Chester,cincinnati,Indeed,1300.3632
82,666758,186776,9/25/2017,9/26/2017,11,14.85,3.85,16,10-West Chester,cincinnati,Indeed,61.6
83,667281,186776,10/3/2017,10/12/2017,9.75,12.97,3.22,15,10-West Chester,cincinnati,Indeed,48.3
84,671984,186934,11/21/2017,11/29/2017,16,20.96,4.96,4.83,11-Florence,Florence,Indeed,23.9568
85,671981,187025,11/21/2017,12/11/2017,16,20.96,4.96,110.37,11-Florence,Erlanger,Craigslist,547.4352
86,674071,187025,12/11/2017,1/20/2018,12,15.96,3.96,231.29,11-Florence,Erlanger,Craigslist,915.9084
87,668259,187025,10/15/2017,11/27/2017,11,14.58,3.58,227,11-Florence,Erlanger,Craigslist,812.66
88,670721,207523,11/5/2017,12/16/2017,16,20.96,4.96,282,11-Florence,cincinnati,,1398.72
89,668781,207523,10/22/2017,11/4/2017,15,19.8,4.8,66.74,11-Florence,cincinnati,,320.352
90,668127,207523,10/15/2017,10/21/2017,14,18.48,4.48,41.57,11-Florence,cincinnati,,186.2336
91,667721,207523,10/9/2017,10/14/2017,12,15.84,3.84,59.6,11-Florence,cincinnati,,228.864
92,674838,207523,12/17/2017,1/10/2018,12,15.84,3.84,109.82,11-Florence,cincinnati,,421.7088
93,670722,207582,11/5/2017,12/16/2017,16,20.96,4.96,222.83,11-Florence,florence,,1105.2368
94,668782,207582,10/22/2017,11/4/2017,15,19.8,4.8,48.53,11-Florence,florence,,232.944
95,668129,207582,10/15/2017,10/21/2017,14,18.48,4.48,53.16,11-Florence,florence,,238.1568
96,667723,207582,10/11/2017,10/14/2017,12,15.84,3.84,39.57,11-Florence,florence,,151.9488
97,670718,207583,11/5/2017,12/11/2017,16,20.96,4.96,62.25,11-Florence,florence,Friend/Relative Referral,308.76
98,668778,207583,10/22/2017,11/4/2017,15,19.8,4.8,24.3,11-Florence,florence,Friend/Relative Referral,116.64
99,668122,207583,10/15/2017,10/21/2017,14,18.48,4.48,26.78,11-Florence,florence,Friend/Relative Referral,119.9744
100,676074,207583,1/4/2018,1/4/2018,12.5,16.63,4.13,4.5,11-Florence,florence,Friend/Relative Referral,18.585
101,667587,207583,10/11/2017,10/14/2017,12,15.84,3.84,37.11,11-Florence,florence,Friend/Relative Referral,142.5024
102,670679,207758,11/5/2017,11/9/2017,16,20.96,4.96,23.8,11-Florence,cincinnati,Friend/Relative Referral,118.048
103,668729,207758,10/22/2017,11/4/2017,15,19.8,4.8,53.88,11-Florence,cincinnati,Friend/Relative Referral,258.624
104,667652,207758,10/16/2017,10/21/2017,14,18.48,4.48,33.17,11-Florence,cincinnati,Friend/Relative Referral,148.6016
105,670681,207769,11/5/2017,12/16/2017,16,20.96,4.96,264.28,11-Florence,Florence ,Friend/Relative Referral,1310.8288
106,668731,207769,10/22/2017,11/4/2017,15,19.8,4.8,53.37,11-Florence,Florence ,Friend/Relative Referral,256.176
107,667657,207769,10/16/2017,10/21/2017,14,18.48,4.48,32.94,11-Florence,Florence ,Friend/Relative Referral,147.5712
108,670677,207812,11/5/2017,11/9/2017,16,20.96,4.96,7.98,11-Florence,cincinnati,Walk-In,39.5808
109,668726,207812,10/22/2017,11/4/2017,15,19.8,4.8,48.03,11-Florence,cincinnati,Walk-In,230.544
110,667646,207812,10/16/2017,10/21/2017,14,18.48,4.48,29.31,11-Florence,cincinnati,Walk-In,131.3088
111,670683,207815,11/5/2017,12/16/2017,16,20.96,4.96,317.87,11-Florence,Burlington,,1576.6352
112,668734,207815,10/22/2017,11/4/2017,15,19.8,4.8,57.39,11-Florence,Burlington,,275.472
113,667666,207815,10/16/2017,10/21/2017,14,18.48,4.48,27.74,11-Florence,Burlington,,124.2752
114,674823,207815,12/17/2017,,12,15.84,3.84,590.43,11-Florence,Burlington,,2267.2512
115,670725,207820,11/5/2017,12/16/2017,16,20.96,4.96,271.61,11-Florence,elsmere,Friend/Relative Referral,1347.1856
116,668787,207820,10/22/2017,11/4/2017,15,19.8,4.8,60.26,11-Florence,elsmere,Friend/Relative Referral,289.248
117,668459,207820,10/19/2017,10/21/2017,14,18.48,4.48,15.59,11-Florence,elsmere,Friend/Relative Referral,69.8432
118,670682,207930,11/5/2017,12/16/2017,16,20.96,4.96,215.36,11-Florence,Florence,Walk-In,1068.1856
119,668732,207930,10/22/2017,11/4/2017,15,19.8,4.8,32.04,11-Florence,Florence,Walk-In,153.792
120,667660,207930,10/16/2017,10/21/2017,14,18.48,4.48,41.13,11-Florence,Florence,Walk-In,184.2624
121,674822,207930,12/17/2017,12/28/2017,12,15.72,3.72,17.57,11-Florence,Florence,Walk-In,65.3604
122,671675,207987,11/13/2017,12/16/2017,16,20.96,4.96,131.24,11-Florence,cincinnati,Friend/Relative Referral,650.9504
123,670567,207987,11/5/2017,11/12/2017,15,19.65,4.65,46.16,11-Florence,cincinnati,Friend/Relative Referral,214.644
124,668705,207987,10/22/2017,11/4/2017,14,18.48,4.48,49.92,11-Florence,cincinnati,Friend/Relative Referral,223.6416
125,668074,207987,10/18/2017,10/21/2017,13,17.16,4.16,19.68,11-Florence,cincinnati,Friend/Relative Referral,81.8688
126,670687,207992,11/5/2017,11/25/2017,16,20.96,4.96,66.38,11-Florence,Morning View,Friend/Relative Referral,329.2448
127,668742,207992,10/22/2017,11/4/2017,15,19.8,4.8,33.37,11-Florence,Morning View,Friend/Relative Referral,160.176
128,667910,207992,10/18/2017,10/21/2017,14,18.48,4.48,21,11-Florence,Morning View,Friend/Relative Referral,94.08
129,670670,208037,11/5/2017,11/29/2017,16,20.96,4.96,57.63,11-Florence,Florence,Indeed,285.8448
130,668618,208037,10/26/2017,11/4/2017,15,19.8,4.8,35.95,11-Florence,Florence,Indeed,172.56
131,673785,208037,12/6/2017,12/29/2017,12.5,16.63,4.13,66.55,11-Florence,Florence,Indeed,274.8515
132,678303,208037,2/14/2018,2/15/2018,12,15.84,3.84,3.58,11-Florence,Florence,Indeed,13.7472
133,670690,208142,11/5/2017,11/22/2017,16,20.96,4.96,113.04,11-Florence,cincinnati,Friend/Relative Referral,560.6784
134,668749,208142,10/22/2017,11/4/2017,15,19.8,4.8,44.55,11-Florence,cincinnati,Friend/Relative Referral,213.84
135,668039,208142,10/19/2017,10/21/2017,14,18.48,4.48,13.27,11-Florence,cincinnati,Friend/Relative Referral,59.4496
136,670669,208181,11/5/2017,11/10/2017,16,20.96,4.96,24.47,11-Florence,cincinnati ,Walk-In,121.3712
137,668539,208181,10/25/2017,11/4/2017,15,19.8,4.8,43.9,11-Florence,cincinnati ,Walk-In,210.72
138,677526,208181,1/28/2018,1/28/2018,11.75,15.57,3.82,33,11-Florence,cincinnati ,Walk-In,126.06
139,676830,208181,1/23/2018,2/1/2018,11.5,15.24,3.74,24.25,11-Florence,cincinnati ,Walk-In,90.695
140,670643,208326,11/5/2017,11/24/2017,16,20.96,4.96,66.66,11-Florence,Dry Ridge,Indeed,330.6336
141,668232,208326,10/23/2017,11/4/2017,15,19.8,4.8,46.21,11-Florence,Dry Ridge,Indeed,221.808
142,673778,208326,12/6/2017,1/3/2018,11.25,14.85,3.6,31,11-Florence,Dry Ridge,Indeed,111.6
143,672128,208326,11/27/2017,12/1/2017,11,14.58,3.58,39,11-Florence,Dry Ridge,Indeed,139.62
144,670676,208327,11/5/2017,11/29/2017,16,20.96,4.96,50.55,11-Florence,newport,Other web site,250.728
145,668626,208327,10/26/2017,11/4/2017,15,19.8,4.8,49.6,11-Florence,newport,Other web site,238.08
146,670742,208350,11/5/2017,11/29/2017,16,20.96,4.96,30.04,11-Florence,Cincinnati,Friend/Relative Referral,148.9984
147,669174,208350,10/24/2017,11/4/2017,15,19.8,4.8,40.42,11-Florence,Cincinnati,Friend/Relative Referral,194.016
148,676218,208350,1/4/2018,1/8/2018,11,14.63,3.63,0,11-Florence,Cincinnati,Friend/Relative Referral,0
149,670659,208400,11/5/2017,11/24/2017,16,20.96,4.96,57.4,11-Florence,dry ridge,Friend/Relative Referral,284.704
150,668533,208400,10/25/2017,11/4/2017,15,19.8,4.8,49.65,11-Florence,dry ridge,Friend/Relative Referral,238.32
151,672136,208400,11/27/2017,1/11/2018,11,14.58,3.58,87.25,11-Florence,dry ridge,Friend/Relative Referral,312.355
152,670663,208557,11/5/2017,12/16/2017,16,20.96,4.96,195.41,11-Florence,florence,Friend/Relative Referral,969.2336
153,668538,208557,10/25/2017,11/4/2017,15,19.8,4.8,46.78,11-Florence,florence,Friend/Relative Referral,224.544
154,670736,208644,11/5/2017,11/22/2017,16,20.96,4.96,32.92,11-Florence,Cincinnati,Walk-In,163.2832
155,668987,208644,10/30/2017,11/4/2017,15,19.8,4.8,18.9,11-Florence,Cincinnati,Walk-In,90.72
156,670735,208645,11/5/2017,11/7/2017,16,20.96,4.96,9.85,11-Florence,Cincinnati,Walk-In,48.856
157,668986,208645,10/30/2017,11/4/2017,15,19.8,4.8,18.96,11-Florence,Cincinnati,Walk-In,91.008
158,670732,208676,11/5/2017,12/16/2017,16,20.96,4.96,191.55,11-Florence,florence,Craigslist,950.088
159,668983,208676,10/30/2017,11/4/2017,15,19.8,4.8,22.83,11-Florence,florence,Craigslist,109.584
160,676778,208676,1/16/2018,1/18/2018,10,14.1,4.1,8,11-Florence,florence,Craigslist,32.8
161,670734,208708,11/5/2017,12/16/2017,16,20.96,4.96,265.89,11-Florence,cincinnati,Other web site,1318.8144
162,668985,208708,10/30/2017,11/4/2017,15,19.8,4.8,22.85,11-Florence,cincinnati,Other web site,109.68
163,675640,208708,1/2/2018,,12,15.96,3.96,232.77,11-Florence,cincinnati,Other web site,921.7692
164,674839,208708,12/17/2017,12/27/2017,12,15.72,3.72,69,11-Florence,cincinnati,Other web site,256.68
165,670730,208768,11/5/2017,12/16/2017,16,20.96,4.96,290.79,11-Florence,covington,Zip Recruiter,1442.3184
166,668981,208768,10/30/2017,11/4/2017,15,19.8,4.8,23.44,11-Florence,covington,Zip Recruiter,112.512
167,670738,208791,11/5/2017,12/16/2017,16,20.96,4.96,249.72,11-Florence,MANCHESTER,,1238.6112
168,669159,208791,10/31/2017,11/4/2017,15,19.8,4.8,15.52,11-Florence,MANCHESTER,,74.496
169,670739,208866,11/5/2017,12/16/2017,16,20.96,4.96,304.87,11-Florence,Covington,,1512.1552
170,669160,208866,10/31/2017,11/4/2017,15,19.8,4.8,31.8,11-Florence,Covington,,152.64
171,674840,208866,12/17/2017,,12,15.84,3.84,388.4,11-Florence,Covington,,1491.456
