,Item_ID,AIdent,Branch,How_Heard,Profit
0,676177,221756,03-Independence,Indeed,2384.64
1,677179,224359,07-Columbus East,,640
2,678357,224359,07-Columbus East,,640
3,668429,207668,03-Independence,Indeed,6028.88
4,676179,222256,03-Independence,,2730.2
5,669522,209366,03-Independence,Friend/Relative Referral,1830
6,677216,223233,08-Columbus West,Other web site,1083.6
7,664906,185341,08-Columbus West,Walk-In,3377.4125
8,666956,185934,07-Columbus East,Walk-In,2460.462
9,674449,185934,07-Columbus East,Walk-In,359.9575
10,674925,185934,07-Columbus East,Walk-In,12.194
11,666018,185934,07-Columbus East,Walk-In,250.404
12,666955,186389,08-Columbus West,Advanced Careers,2396.166
13,674448,186389,08-Columbus West,Advanced Careers,434.294
14,674924,186389,08-Columbus West,Advanced Careers,153.4568
15,665851,186389,08-Columbus West,Advanced Careers,325.0632
16,677221,186389,08-Columbus West,Advanced Careers,46.7181
17,671390,209844,07-Columbus East,Walk-In,892.62
18,668042,207383,03-Independence,Indeed,919.38
19,670001,207383,03-Independence,Indeed,2869.02
20,667940,208171,06-Akron,Craigslist,1620.525
21,667368,186608,07-Columbus East,Zip Recruiter,2925.75
22,668484,184249,07-Columbus East,Friend/Relative Referral,192.96
23,671385,184249,07-Columbus East,Friend/Relative Referral,229.408
24,665934,184249,07-Columbus East,Friend/Relative Referral,30.59
25,664127,184249,07-Columbus East,Friend/Relative Referral,33.5236
26,663690,184249,07-Columbus East,Friend/Relative Referral,89.6
27,670632,209671,07-Columbus East,Indeed,188.3504
28,666969,186253,07-Columbus East,Friend/Relative Referral,42.24
29,666465,186253,07-Columbus East,Friend/Relative Referral,96.14
30,674414,185097,12-Chicago,Indeed,192.85
31,677636,185611,12-Chicago,Newspaper Ad,765.89
32,665085,185611,12-Chicago,Newspaper Ad,5026.008
33,666997,207465,12-Chicago,Craigslist,1833.4525
34,674415,222100,12-Chicago,Indeed,187.34
35,674413,222298,12-Chicago,Craigslist,1692.9475
36,675978,223148,12-Chicago,,148.77
37,677342,223722,12-Chicago,,107.445
38,677343,223982,12-Chicago,Walk-In,235.5525
39,678056,224242,12-Chicago,Advanced Careers,223.155
40,670667,207811,11-Florence,Friend/Relative Referral,40.8064
41,668735,207811,11-Florence,Friend/Relative Referral,251.328
42,667700,207811,11-Florence,Friend/Relative Referral,126.6048
43,670664,208249,11-Florence,Walk-In,16.2816
