,Date,Name,Split,Amount,Total Spent,,,,,,,Name,Amount
4000-05 · Elyria Advertising,,,,,,,,,,,,,
,8/4/2017,Vivial,0102 · Huntington Operating,10.3,3699.76,,,,,,,Vivial,10.3
,8/18/2017,21st Century Media-Ohio,0102 · Huntington Operating,232.4,,,,,,,,21st Century Media-Ohio,232.4
,8/18/2017,The Chronicle Telegram,0102 · Huntington Operating,127.84,,,,,,,,The Chronicle Telegram,127.84
,9/1/2017,Vivial,0102 · Huntington Operating,10.3,,,,,,,,Vivial,10.3
,9/22/2017,21st Century Media-Ohio,0102 · Huntington Operating,337.23,,,,,,,,21st Century Media-Ohio,337.23
,9/22/2017,The Gazette,0102 · Huntington Operating,194.71,,,,,,,,The Gazette,194.71
,10/6/2017,Vivial,0102 · Huntington Operating,10.3,,,,,,,,Vivial,10.3
,10/27/2017,21st Century Media-Ohio,0102 · Huntington Operating,902.46,,,,,,,,21st Century Media-Ohio,902.46
,10/27/2017,The Gazette,0102 · Huntington Operating,285.92,,,,,,,,The Gazette,285.92
,11/3/2017,Vivial,0102 · Huntington Operating,10.3,,,,,,,,Vivial,10.3
,11/10/2017,Tandem Media Network,0102 · Huntington Operating,18.89,,,,,,,,Tandem Media Network,18.89
,11/16/2017,21st Century Media-Ohio,0102 · Huntington Operating,133.24,,,,,,,,21st Century Media-Ohio,133.24
,11/16/2017,The Chronicle Telegram,0102 · Huntington Operating,51.03,,,,,,,,The Chronicle Telegram,51.03
,12/1/2017,Vivial,0102 · Huntington Operating,10.65,,,,,,,,Vivial,10.65
,12/21/2017,21st Century Media-Ohio,0102 · Huntington Operating,114.34,,,,,,,,21st Century Media-Ohio,114.34
,12/21/2017,University Hospitals Corporate Health,0102 · Huntington Operating,156,,,,,,,,University Hospitals Corporate Health,156
,12/29/2017,Vivial,0102 · Huntington Operating,10.65,,,,,,,,Vivial,10.65
,1/25/2018,The Chronicle Telegram,0102 · Huntington Operating,102.97,,,,,,,,The Chronicle Telegram,102.97
,1/25/2018,21st Century Media-Ohio,0102 · Huntington Operating,348.78,,,,,,,,21st Century Media-Ohio,348.78
