Item_ID,AIdent,Hours_Worked,Activation,Completion
668797,184132,66.75,10/29/2017,11/12/2017
671324,184132,24,11/12/2017,11/19/2017
672394,184132,35.75,11/19/2017,12/3/2017
672415,184132,14.25,11/19/2017,11/26/2017
675961,184132,16,12/31/2017,1/7/2018
662972,184133,7.5,7/30/2017,8/6/2017
663869,184135,494.5,8/6/2017,11/5/2017
663270,184137,777,7/30/2017,2/25/2018
663188,184139,75,7/30/2017,8/20/2017
665682,184139,83.47,9/3/2017,10/8/2017
662958,184141,20.25,7/30/2017,8/6/2017
664689,184142,40.75,8/27/2017,9/10/2017
662961,184144,382.83,7/30/2017,10/15/2017
663170,184147,12.5,7/30/2017,8/6/2017
668326,184148,6.5,10/22/2017,10/29/2017
663483,184154,267.5,7/30/2017,9/24/2017
666659,184154,22.13,9/24/2017,10/15/2017
667815,184154,687.68,10/15/2017,2/25/2018
662974,184155,67.96,7/30/2017,9/3/2017
664837,184155,244.88,8/27/2017,10/8/2017
667510,184155,392.95,10/8/2017,12/3/2017
673532,184155,95.69,12/3/2017,12/17/2017
675043,184155,99.89,12/17/2017,12/31/2017
675744,184155,203.81,12/31/2017,2/4/2018
677893,184155,109.04,2/4/2018,2/25/2018
663477,184156,308.5,7/30/2017,9/24/2017
666660,184156,83.1,9/24/2017,10/15/2017
667816,184156,430.51,10/15/2017,12/17/2017
663339,184157,4.5,7/30/2017,8/6/2017
663152,184161,743.75,8/6/2017,12/24/2017
675404,184161,308.5,12/24/2017,2/25/2018
662895,184163,1206,7/23/2017,2/25/2018
663084,184166,90,7/23/2017,8/20/2017
662898,184167,364.75,7/23/2017,10/8/2017
663575,184168,48.25,8/6/2017,8/27/2017
663082,184170,132,7/23/2017,8/20/2017
664224,184170,30,8/20/2017,8/27/2017
662911,184172,173.75,7/23/2017,8/27/2017
662900,184173,105.75,7/23/2017,8/27/2017
665401,184177,0,9/10/2017,9/17/2017
663473,184180,31.5,7/30/2017,8/13/2017
663474,184181,39.25,7/30/2017,8/13/2017
663366,184182,39,7/30/2017,8/13/2017
663944,184186,28.75,8/6/2017,8/13/2017
663510,184187,263.5,7/30/2017,9/10/2017
663057,184188,19.78,7/30/2017,8/13/2017
674935,184188,17.12,12/17/2017,12/31/2017
675556,184188,11.5,12/24/2017,12/31/2017
663108,184192,8,7/30/2017,8/6/2017
663353,184198,457.25,7/30/2017,11/5/2017
669283,184198,2.75,10/29/2017,11/5/2017
663349,184199,60.25,7/30/2017,8/20/2017
663103,184202,48,7/30/2017,8/13/2017
664142,184202,159,8/13/2017,9/10/2017
665236,184202,256,9/10/2017,10/22/2017
665019,184203,235.31,8/27/2017,10/15/2017
668103,184203,36.23,10/15/2017,10/22/2017
663845,184206,6,8/6/2017,8/13/2017
665304,184211,323.66,9/3/2017,11/5/2017
669958,184211,321.12,10/29/2017,12/17/2017
674466,184211,465.5,12/17/2017,2/25/2018
662976,184212,89.8,7/23/2017,8/13/2017
663215,184221,17.8,7/30/2017,8/6/2017
663098,184224,38,7/30/2017,8/13/2017
663214,184228,57.3,7/30/2017,8/13/2017
663653,184228,25.9,8/13/2017,8/20/2017
663216,184229,54.8,7/30/2017,8/13/2017
663631,184229,24,8/13/2017,8/20/2017
663056,184230,29.93,7/30/2017,8/13/2017
677458,184230,28,1/28/2018,2/4/2018
678300,184230,40,2/11/2018,2/18/2018
663100,184232,24,7/30/2017,8/13/2017
663347,184233,16,7/30/2017,8/6/2017
663595,184234,361.75,8/6/2017,10/29/2017
669663,184234,100.25,10/29/2017,11/26/2017
664268,184237,67.7,8/13/2017,9/3/2017
665216,184237,308.06,9/3/2017,11/5/2017
669547,184237,40,11/5/2017,11/19/2017
672028,184237,24.83,11/19/2017,11/26/2017
673936,184237,7.7,12/10/2017,12/17/2017
664259,184240,67.7,8/13/2017,9/3/2017
665219,184240,313.64,9/3/2017,11/5/2017
672030,184240,24.83,11/19/2017,11/26/2017
673934,184240,7.7,12/10/2017,12/17/2017
663542,184241,22,8/6/2017,8/13/2017
663198,184242,82.6,7/30/2017,8/20/2017
663013,184245,7.5,7/23/2017,7/30/2017
663690,184249,28,8/6/2017,8/13/2017
664127,184249,8.02,8/13/2017,8/20/2017
665934,184249,7,9/10/2017,9/17/2017
668484,184249,36,10/22/2017,11/5/2017
671385,184249,42.8,11/12/2017,11/26/2017
