AIdent,Hours_Worked
184132,66.75
184132,24
184132,35.75
184132,14.25
184132,16
184133,7.5
184135,494.5
184137,777
184139,75
184139,83.47
184141,20.25
184142,40.75
184144,382.83
184147,12.5
184148,6.5
184154,267.5
184154,22.13
184154,687.68
184155,67.96
184155,244.88
184155,392.95
184155,95.69
184155,99.89
184155,203.81
184155,109.04
184156,308.5
184156,83.1
184156,430.51
184157,4.5
184161,743.75
184161,308.5
184163,1206
184166,90
184167,364.75
184168,48.25
184170,132
184170,30
184172,173.75
184173,105.75
184177,0
184180,31.5
184181,39.25
184182,39
184186,28.75
184187,263.5
184188,19.78
184188,17.12
184188,11.5
184192,8
184198,457.25
184198,2.75
184199,60.25
184202,48
184202,159
184202,256
184203,235.31
184203,36.23
184206,6
184211,323.66
184211,321.12
184211,465.5
184212,89.8
184221,17.8
184224,38
184228,57.3
184228,25.9
184229,54.8
184229,24
184230,29.93
184230,28
184230,40
184232,24
184233,16
184234,361.75
184234,100.25
184237,67.7
184237,308.06
184237,40
184237,24.83
184237,7.7
184240,67.7
184240,313.64
184240,24.83
184240,7.7
184241,22
184242,82.6
184245,7.5
184249,28
184249,8.02
184249,7
184249,36
184249,42.8
184257,9.25
184259,192
184259,71
184260,3.5
184262,129
184263,5.5
184263,14
184266,72
184267,39.38
184267,463.75
184267,56
184269,47.1
184269,98.2
184269,85.64
184269,205
184269,54.44
184269,93.02
184269,27.5
184271,56.8
184278,545.6
184278,312.2
184278,20.29
184280,8.58
184285,7.5
184285,52.5
184289,356.25
184289,145.35
184291,7.25
184293,1.5
184294,511.75
184296,72.25
184297,174
184298,8
184299,16
184301,33.75
184302,30.5
184302,31
184305,9
184306,351.25
184308,426.25
184309,50
184309,136.24
184310,13.5
184311,9
184312,123.5
184312,128.75
184312,74
184313,24
184318,32.25
184320,433.73
184321,16.83
184321,7.3
184321,281.14
184321,8.3
184321,95
184323,269.62
184324,7.5
184326,41.5
184326,725.5
184326,538.75
184327,4
184329,30
184329,75
184329,26.5
184330,7.5
184331,7.5
184332,20
184332,22.5
184336,25
184337,63.6
184338,328
184338,63.23
184338,2.5
184338,20.75
184338,19.25
184344,45.32
184344,26.26
184344,48.65
184344,30.5
184344,4
184346,30.5
184346,8
184346,79.25
184346,76
184346,109
184346,10
184353,8
184356,100
184357,27.67
184357,161.75
184358,18.42
184360,30.75
184360,156
184360,13
184363,19.8
184366,177.25
184369,131.29
184369,324.48
184369,12.46
184369,21.5
184371,423
184372,13.5
184373,8
184375,77.75
184376,20.5
184378,80
184379,117.25
184380,221
184380,40
184384,108
184385,160
184386,63.75
184386,4
184399,89
184399,52
184405,52.46
184406,0.75
184406,261
184407,335.5
184407,39.56
184407,23.38
184407,2.5
184407,21
184407,51.25
184408,32
184415,641
184416,215.5
184416,23.97
184416,172.72
184416,270.6
184416,5
184416,103
184421,805.75
184425,25.05
184425,19.9
184427,24
184428,28.65
184429,20
184429,308.51
184429,8.2
184429,3.23
184429,376.92
184429,80.14
184429,89.47
184429,299.58
184430,82.01
184430,133
184431,78.67
184432,31.1
184432,244.47
184432,283.16
184432,35.63
184432,0.2
184432,64.6
184432,99.03
184432,159.91
184435,8
184437,8
184439,7.25
184440,23.75
184446,7.75
184449,621.25
184451,4
184451,113
184452,495.25
184456,6.5
184460,6.75
184462,35
184467,220.6
184471,1.75
184472,30
184474,8
184476,58.25
184477,58.25
184484,87.15
184486,679.45
184488,77.75
184488,45.63
184488,121.42
184495,39.9
184506,70.5
184508,376.75
184510,4
184510,719
184512,22
184517,636
184518,100.5
184518,142.75
184519,205.25
184521,4.5
184521,10.75
184523,0.5
184526,19
184528,24
184528,73.4
184529,101.5
184530,8
184532,38
184535,24
184538,230.5
184538,64.07
184538,39.89
184538,72.21
184538,276.13
184538,357.43
184543,288.3
184547,56
184550,147.5
184550,452.5
184550,45
184554,267.25
184554,99.5
184554,11.37
184554,34.1
184558,39
184559,326.5
184559,111.8
184559,7.5
184560,13.5
184563,8
184564,3
184564,761.75
184567,5
184567,1032.5
184571,19.3
184572,7.5
184576,35.75
184580,30
184581,12.48
184581,7.32
184581,98.1
184582,13.1
184582,7.32
184582,160
184582,13.2
184586,189
184587,356.75
184588,8
184588,243.83
184589,704
184590,17.75
184591,72
184592,860.69
184594,84.75
184603,97
184606,10
184606,20
184607,10
184607,15.5
184607,41.75
184611,17.75
184614,176
184614,294
184615,36.73
184615,81.52
